,train_loss,validate_loss,validate_accuracy
0,0.4814938905950665,2.9861165256354534,9.81
1,0.3117969323436806,0.30481157562254696,91.14
2,0.2808175040065154,0.27030909539114006,92.34
3,0.2569966998549796,0.24816661780762975,93.1
4,0.23749473862819137,0.2317238426512584,93.51
5,0.22090020216080103,0.22481074087029224,93.72
6,0.2067907109279225,0.20843801437588422,94.24
7,0.19410806239694647,0.19432779563490937,94.76
8,0.18497263317042928,0.18780047640720593,94.78
9,0.176933696704222,0.1880341199069926,94.71
10,0.17066060578388795,0.18218733417400507,95.1
11,0.16494220362774967,0.19091949037626826,94.7
12,0.160295147253138,0.17593243867281513,95.08
13,0.155852867838219,0.17569549000984183,95.23
14,0.1519033932943458,0.16934791942090258,95.32
15,0.14851477148727474,0.16789725010698608,95.38
16,0.14483980419083908,0.16641389908261595,95.39
17,0.1424149937600053,0.17102385460495523,95.29
18,0.14013330784573866,0.167323400968966,95.52
19,0.13758370991678207,0.16558086160328908,95.47
20,0.13519751123080023,0.16698764307555888,95.42
21,0.13326676696250805,0.16664671367491665,95.38
22,0.1310807431342684,0.17547194101327848,95.24
23,0.13043942611625128,0.17060389491882505,95.41
24,0.1280336984379942,0.17381592287914827,95.24
25,0.12629091220959335,0.17542750884475541,95.29
26,0.12450019076391908,0.17486468669720137,95.19
27,0.12330010826538694,0.16872741564380023,95.34
28,0.12215548008980771,0.17260912212973886,95.33
29,0.12039252140636303,0.16788274687137894,95.54
30,0.11897896902395688,0.16777099646650676,95.44
31,0.11746103616266663,0.16939199939752572,95.34
32,0.11648139791036702,0.17359265521071907,95.23
33,0.1155261769431386,0.16864408346040455,95.66
34,0.1143082399998513,0.17493369018216964,95.36
35,0.11288658111388421,0.17219506342947616,95.36
36,0.1124753909864524,0.17196146889995093,95.33
37,0.11149066135121681,0.17409421649627926,95.31
38,0.11055250701213284,0.17339009919361287,95.47
39,0.1093296814160752,0.17416916343187863,95.4
40,0.10837424684796877,0.17351382594269768,95.42
41,0.10783692781826307,0.17994259758260792,95.29
42,0.10658591132538744,0.1743248490267558,95.44
43,0.10630817007791993,0.17684979515833799,95.28
44,0.1047226798643788,0.17100634219284383,95.37
45,0.10476407279158191,0.1781907147936535,95.1
46,0.10376127240193604,0.17755846365884884,95.36
47,0.10254517850957098,0.17684273355503333,95.38
48,0.10214145382666001,0.18020544220516932,95.28
49,0.10172169578881654,0.18024366330724073,95.36
50,0.10094077855801564,0.1825429992496125,95.32
51,0.10031413244623415,0.18022699815772356,95.34
52,0.09985891134096617,0.18278887933842755,95.43
53,0.09934307181281438,0.18529071560783392,95.27
54,0.09800599154900776,0.18576223713334575,95.26
55,0.09827649593035803,0.19209959371948887,95.0
56,0.09736548915128539,0.18332073017994466,95.29
57,0.0966488346765685,0.18304599922231862,95.18
58,0.09592369818078285,0.18213437659987228,95.22
59,0.09525541210008032,0.18397013442364704,95.43
60,0.09468795634695645,0.18675578344753616,95.16
61,0.09447301015806117,0.18665395699652132,95.21
62,0.0933257709133103,0.18534289975987916,95.02
63,0.09329579673871703,0.1878109063074683,95.16
64,0.09215295971435078,0.18415445890055682,95.4
65,0.09209824848699523,0.18627543854158685,95.11
66,0.0917362997514808,0.18797956567903681,95.46
67,0.0902776747179703,0.18649482278504578,95.14
68,0.09044947850321385,0.18754540185035154,95.2
69,0.08994368831359277,0.18850301588848487,95.47
70,0.08942467438799193,0.18817729848908257,95.16
71,0.08852584282513015,0.18720312228709182,95.1
72,0.08756305693231657,0.19551734719531874,95.17
73,0.0867465038065833,0.19415133554779773,95.24
74,0.08616488064469927,0.19290952241588208,95.25
75,0.08589348390767272,0.1960304603996354,94.92
76,0.08546756320705115,0.19441872637295032,95.02
77,0.08485345226631652,0.19464422827355113,95.02
78,0.08349847959350586,0.19519559173496998,95.1
79,0.08265502613561551,0.19251887139072868,95.3
